reag,count
CN(C)[P+](On1nnc2ccccc21)(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,1820
[F-].[K+],1795
CC(C)COC(=O)Cl,1780
[Cl-].[Li+],1734
CC[O-].[Na+],1693
CC(C)=O,1676
Cl[Sn]Cl.O.O,1632
[C-]#N.[K+],1543
CC(C)O,1537
On1nnc2cccnc21,1505
O=S(=O)(O)Cl,1433
BrP(Br)Br,1416
O=C(OOC(=O)c1ccccc1)c1ccccc1,1385
Cl[Sn]Cl,1368
CC(C)C[AlH]CC(C)C,1359
ClP(Cl)(Cl)(Cl)Cl,1338
CCCCCC.CCOC(C)=O,1337
CC(C)(C#N)N=NC(C)(C)C#N,1337
COc1ccc(P2(=S)SP(=S)(c3ccc(OC)cc3)S2)cc1,1319
O=S([O-])[O-].[Na+].[Na+],1314
CC(C)OC(=O)N=NC(=O)OC(C)C,1309
[Li]C(C)(C)C,1308
O=S(=O)(Cl)Cl,1297
CCOCC.FB(F)F,1283
O=CO,1280
O=C1CCC(=O)N1I,1274
CCOC(=O)Cl,1260
O=S(=O)([O-])[O-].[Na+].[Na+],1258
C[Al](C)C,1250
BrC(Br)(Br)Br,1248
Cc1cccc(C)n1,1247
O=S(=O)([O-])[O-].[Mg+2],1236
[N-]=[N+]=NP(=O)(c1ccccc1)c1ccccc1,1236
O=[Cr](=O)([O-])Cl.c1cc[nH+]cc1,1232
COCCOC,1221
O=S([O-])O.[Na+],1214
CN(C)c1ccccn1,1212
c1ccccc1,1211
B.C1CCOC1,1204
CN,1200
CCOC(=O)/N=N/C(=O)OCC,1198
C,1195
CC(C)OC(=O)/N=N/C(=O)OC(C)C,1172
Cl.c1ccncc1,1171
C1COCCO1.Cl,1136
O=S([O-])S(=O)[O-].[Na+].[Na+],1110
Cc1ccccc1P(c1ccccc1C)c1ccccc1C,1108
[Na+].[O-][I+3]([O-])([O-])[O-],1097
O=[N+]([O-])[O-].[K+],1096
O=C(OC(=O)C(F)(F)F)C(F)(F)F,1091
C[Si](C)(C)[N-][Si](C)(C)C.[Na+],1090
CCCCP(CCCC)CCCC,1079
NO,1071
CCOC(C)=O.Cl,1066
F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,1064
COB(OC)OC,1017
[Cs+].[F-],1017
B,970
O=C=O,969
[Br-].[K+],966
CC(C)OB(OC(C)C)OC(C)C,945
COc1ccccc1,938
CC(=O)Cl,934
Cc1ccc(S(=O)(=O)[O-])cc1.c1cc[nH+]cc1,925
C[N+]1([O-])CCOCC1,921
CO.ClCCl,911
CN(C)CCN(C)C,902
CN1CCCC1=O,889
O=S([O-])OO.[K+],886
CS(=O)(=O)O,884
CC(C)OC(C)C,879
CC(C)[Mg]Cl,863
[Na+].[O-][Cl+][O-],842
O=[Mn](=O)(=O)[O-].[K+],840
ClCl,828
O=C(N=NC(=O)N1CCCCC1)N1CCCCC1,794
O=P(O)(O)O,793
[Li]C(C)CC,771
C1COCCOCCOCCOCCOCCO1,739
O=S(=O)([O-])O.[K+],734
[Ca+2].[Cl-].[Cl-],706
CC(C)CCON=O,687
C1CCNC1,684
CSC,683
Cc1ccc(S(=O)(=O)Cl)cc1,679
CCN(CC)S(F)(F)F,672
B.CSC,664
CC(=O)N(C)C,663
C[Si](C)(C)I,655
CN(C)c1ccccc1,655
O=C(O)[C@@H]1CCCN1,650
[Na+].[O-]Cl,636
C1CCCCC1,630
ClB(Cl)Cl,628
COS(=O)(=O)OC,626
C[Si](C)(C)CC(N)=O,621
CC(C)(C)ON=O,620
S=P12SP3(=S)SP(=S)(S1)SP(=S)(S2)S3,612
CC(Cl)OC(=O)Cl,601
O=P12OP3(=O)OP(=O)(O1)OP(=O)(O2)O3,600
O=S(=O)(O)C(F)(F)F,591
CC(C)(C)P(C(C)(C)C)C(C)(C)C,587
[K],586
CCNCC,578
CC(C)=O.O=S(=O)(O)O.O=[Cr](=O)=O,578
C1CN2CCN1CC2,573
[Li],570
Br[P+](N1CCCC1)(N1CCCC1)N1CCCC1.F[P-](F)(F)(F)(F)F,558
Oc1cccc2[nH]nnc12,555
N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,553
Cl[Sn](Cl)(Cl)Cl,552
NCCN,552
ClC(Cl)(Cl)Cl,547
CNC,541
O=C([O-])O.[K+],537
OCCO,537
C[Si](C)(C)Br,533
O=[O+][O-],532
CCCP1(=O)OP(=O)(CCC)OP(=O)(CCC)O1,529
C[Si](C)(C)[N-][Si](C)(C)C.[K+],520
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,520
CCOP(=O)(C#N)OCC,516
CN.Cl,514
CC(C)N=C=NC(C)C,506
[Br-].[Li+],501
O=C1OCCN1P(=O)(Cl)N1CCOC1=O,494
CC(C)(C)O,482
CNCCNC,473
Oc1ccccc1,465
CC(C)=O.O=C=O,462
O=O,462
N[C@@H]1CCCC[C@H]1N,460
ClI,449
ClCCl.O=C(O)C(F)(F)F,447
O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,442
O=[Se]=O,428
C[Si](C)(C)N=[N+]=[N-],422
COC(C)(C)C,420
CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,410
C1COCCOCCOCCOCCO1,409
CC=C(C)C,408
CCCCCCC,407
S,405
CN(C)P(=O)(N(C)C)N(C)C,401
CO.Cl,393
O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].c1cc[nH+]cc1.c1cc[nH+]cc1,392
BrCCBr,392
O=C([O-])C(O)C(O)C(=O)[O-].[K+].[Na+],389
O=C([O-])[O-].[Ca+2],389
ClC(Cl)(Cl)C(Cl)(Cl)Cl,388
C1=CCCCC1,386
CC(=O)[O-].O.O.O.[Na+],386
CCCCC,386
FB(F)F,380
CCCCCC.[Li]CCCC,376
C1COCCN1,370
O.O.O.O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Na+].[Na+],370
CC#N.O,359
CN[C@@H]1CCCC[C@H]1NC,358
CC(C)(C)OC(=O)N=NC(=O)OC(C)(C)C,357
CO.ClC(Cl)Cl,352
O=P([O-])(O)O.[Na+],349
NC(N)=O,349
[I-].[Li+],344
I,329
Oc1cccc2cccnc12,324
Cc1ccccc1C,322
O=C(Cl)Cl,321
CCN1CCOCC1,320
O=P(Br)(Br)Br,317
CCN(CC)CC.Cl,313
O=S(=O)([O-])O.[Na+],313
[Cl-].[Cl-].[Mg+2],311
COC(=O)Cl,311
CC[Mg]Br,310
NC(N)=S,309
O=C([O-])[C@H](O)[C@@H](O)C(=O)[O-].[K+].[Na+],308
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2,308
NS(=O)(=O)Cl,308
O=C1CCC(=O)N1O,306
ClP(Cl)Cl,305
C[Si](C)(C)C(C(N)=O)[Si](C)(C)C,305
C[Si](C)(C)C=[N+]=[N-],303
CCS,303
CCN(CC)CC.F.F.F,299
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,298
Nc1ccccc1,298
F[B-](F)(F)F.[H+],298
CCCCO,296
B1C2CCCC1CCC2,295
O=[N+]([O-])[O-].[Na+],292
COC(OC)OC,291
CO.C[O-].[Na+],290
C[P+](C)(C)CC#N.[I-],290
C[Si](C)(C)OS(=O)(=O)C(F)(F)F,285
CC(C)(C)C(=O)Cl,283
O=C([O-])[O-].[NH4+].[NH4+],283
O=P([O-])(O)O.[K+],283
[Br-].[Na+],283
O=S([O-])S(=O)(=O)[O-].[Na+].[Na+],282
NS(N)(=O)=O,281
CC(Cl)Cl,280
C1CCOC1.O,280
CCC(C)[BH-](C(C)CC)C(C)CC.[Li+],270
Fc1cnc(Cl)nc1Nc1ccc2c(c1)OCCO2,270
c1ccc(Oc2ccccc2)cc1,266
CCCC[SnH](CCCC)CCCC,265
C1N2CN3CN1CN(C2)C3,263
O=S=O,261
c1ccc2ncccc2c1,257
[C]=O,257
CCCC[Sn](=O)CCCC,257
[O-][Cl+3]([O-])([O-])O,256
[Li]C,255
BrB(Br)Br.ClCCl,254
[NH2-].[Na+],253
[Sn],252
CO.N,246
O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Yb+3],246
CCOC(C)=O.ClCCl,243
C[Si](C)(C)N[Si](C)(C)C,243
Cc1cc(C)nc(C)c1,239
c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,237
CC(=O)OO,237
c1cnc2c(c1)ccc1cccnc12,235
CCO.Cl,234
CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[Br-].[Br-].[Br-],233
[S],231
Cl.Cl.Nc1c(F)c(N)c(F)c(F)c1F,230
Sc1ccccc1,228
Oc1cccc(Nc2ncc(F)c(Nc3ccc4c(c3)OCCO4)n2)c1,228
N.O,227
[H-].[K+],225
C=CCBr,222
[Al],221
ICI,221
N#CBr,221
NS(=O)(=O)O,219
O=C(O)C(=O)O,217
CCI,216
[H-].[Li+],215
F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,215
CCCCN(CCCC)CCCC,213
NCc1ccccc1,208
CCN(CC)c1ccccc1,206
NCCO,206
O=C=NS(=O)(=O)Cl,204
C1CCOC1.CO,199
F,199
COCCO[AlH2-]OCCOC.[Na+],198
Br.CC(=O)O,197
O.Oc1cccc2[nH]nnc12,197
O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ce+4].[NH4+].[NH4+],195
CC1(C)C(=O)N(Br)C(=O)N1Br,192
C[Mg]Br,191
O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O.[Na+],189
CCC(C)=O,188
CC(C)(C)O[Na],188
B#B,187
C[Si](C)(C)[O-].[K+],187
Nc1cccc(O)c1,187
[Br-].[Br-].[Br-].c1cc[nH+]cc1.c1cc[nH+]cc1.c1cc[nH+]cc1,187
CC1(C)CCCC(C)(C)N1,186
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,184
CSc1ccccc1,181
CCOC(C)=O.O,179
CCN,179
O=C[O-].[Na+],178
O=[N+]([O-])[O-].[Ag+],178
O[C@H](CS)[C@@H](O)CS,178
Oc1ccc(O)cc1,174
CCOC(C)=O.CO,174
CN(C)C(=N)N(C)C,174
OB(O)c1ccccc1,174
CCCP(=O)=O,174
O.O=C([O-])O.[Na+],173
C[n+]1ccccc1Cl.[I-],173
CP(C)C,172
C[Sn](C)(C)N=[N+]=[N-],172
c1ccsc1,171
[AlH4-].[Li+],171
O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,170
NC1CC1,169
F.c1ccncc1,168
COCCO[Al+]OCCOC.[H-].[H-].[Na+],167
S.[Na],166
C[N+](C)(C)c1ccccc1.C[N+](C)(C)c1ccccc1.C[N+](C)(C)c1ccccc1.[Br-].[Br-].[Br-],163
NOS(=O)(=O)O,163
CC(C)=C(Cl)N(C)C,162
CCCC[Sn](CCCC)(CCCC)N=[N+]=[N-],162
Cn1ccnc1,161
C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.[F-],161
CC(C)(C)[PH+](C(C)(C)C)C(C)(C)C.F[B-](F)(F)F,161
O=S1(=O)CCCC1,159
Clc1nc(Cl)nc(Cl)n1,159
O=P(c1ccccc1)(c1ccccc1)c1ccccc1,159
CCOCC.Cl,158
[Cl-].[NH3+]O,158
Clc1ccccc1Cl,157
CCCCCCC.CCOC(C)=O,157
CC(C)(C)O[K],155
CCO.O,154
CCCCON=O,154
O=P(Cl)(c1ccccc1)c1ccccc1,153
CCN(CC)CC.Cc1ccccc1,153
O=C(c1ncc[nH]1)c1ncc[nH]1,152
CCC(=O)O,152
CC1(C)CCCC(C)(C)N1[O],152
CN1CCCC1,150
Cl[Sn](Cl)(Cl)Cl.O.O,148
Cc1ccccc1S(=O)(=O)O,147
CCBr,147
CC(C)(C)OCl,147
B.[Na],146
[Ca+2].[OH-].[OH-],146
CO[Na],146
COc1nc(OC)nc([N+]2(C)CCOCC2)n1.[Cl-],146
CC(C)(C)OO,145
N=C=N,145
NC=O,144
NO.O=S(=O)(O)O,144
Nc1cc[nH]n1,143
C[Si](C)(C)C#N,143
CC(=O)O.CC(=O)O.Ic1ccccc1,142
O=[N+]([O-])c1ccccc1,141
CNN,141
C[N+](C)=CCl.[Cl-],141
O=S(=O)=O.c1ccncc1,139
C1CC[NH2+]CC1.CC(=O)[O-],139
Fc1cnc(Cl)nc1Cl,139
Nc1ccc2c(c1)OCCO2,138
CCCCN,136
CO.O,135
C/C(=N\[Si](C)(C)C)O[Si](C)(C)C,135
[SiH3]c1ccccc1,135
O=P([O-])([O-])O.[K+].[K+],133
CCN(CC)P1(=NC(C)(C)C)N(C)CCCN1C,133
C1CCC(NC2CCCCC2)CC1,131
CN(C)CCN,128
O=[PH2]O,127
O=C(O)c1ccccc1,127
O.O.O.O.O.O=S([O-])([O-])=S.[Na+].[Na+],126
CCOC(=O)N1c2ccccc2C=CC1OCC,126
CCOC(OCC)OCC,125
[Ce+3].[Cl-].[Cl-].[Cl-],124
Cl[Sn]Cl.O,123
CC1CCCO1,123
NC(CO)(CO)CO,123
O=C([O-])[O-].[Li+].[Li+],123
C=[N+]=[N-],122
O=P([O-])([O-])O.[Na+].[Na+],122
CCCCCCCCCCCC,122
CCOP(=O)(Cl)OCC,121
CN1CCCN(C)C1=O,121
O.O=P([O-])(O)O.[Na+],121
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,121
CC(C)N,119
CN1CC[NH+](C)C1Cl.[Cl-],119
OBO,118
O=S(=O)([O-])OOS(=O)(=O)[O-].[K+].[K+],118
CCCC[N+](CCCC)(CCCC)CCCC.[OH-],117
O=C(OI(OC(=O)C(F)(F)F)c1ccccc1)C(F)(F)F,116
O=Cc1ccccc1,115
CN(C)C(N(C)C)=[N+]1N=[N+]([O-])c2ncccc21.F[P-](F)(F)(F)(F)F,115
Brc1cnc(Nc2ccc3c(c2)OCCO3)nc1Nc1ccc2c(c1)OCCO2,115
CC[O-].[K+],114
[Na+].[Na+].[S-2],113
BrCC1CCCCO1,113
CC(=O)OC(C)C,112
F[B-](F)(F)F.O=[N+]=O,112
CC(=O)CC(C)C,111
C[O-].[Li+],111
CC(C)C(C)BC(C)C(C)C,111
CCCC[N+](CCCC)(CCCC)CCCC.O.O.O.[F-],111
CCOC=O,111
O=S(=O)(c1ccccc1)N(F)S(=O)(=O)c1ccccc1,110
CCOC(=O)C(C#N)=NOC(N(C)C)=[N+](C)C.F[B-](F)(F)F,109
CCCCP(=CC#N)(CCCC)CCCC,108
N#C[Cu],108
CC(C)(O)C#N,108
O=S(=O)([O-])OOS(=O)(=O)[O-].[NH4+].[NH4+],107
[Mg+2].[O-2],107
O=[N+]([O-])[N+](=O)[O-],107
COC(OC)N(C)C,107
FC(F)(F)c1ccc(CBr)o1,106
CN(C)C(=O)Cl,106
[F-].[NH4+],106
CCOC(=O)C(C#N)=NOC(N1CCOCC1)=[N+](C)C.F[P-](F)(F)(F)(F)F,106
C[N+](C)(C)Cc1ccccc1.[OH-],105
O.O.O.O.[Na+].[O-]B1OO1,105
[O-][I+3]([O-])([O-])O,105
N=C(c1ccccc1)c1ccccc1,105
CCCCCC.CCOCC,104
CSC(N)=S.[Na],104
P,103
CO.O=C=O,103
O.[Na+].[SH-],102
CNC.Cl,102
CC1CO1,102
O=S(Br)Br,102
CB1OC(c2ccccc2)(c2ccccc2)[C@H]2CCCN12,101
CN(C)C(=O)N=NC(=O)N(C)C,100
COc1ccc(O)cc1,100
O=P([O-])([O-])[O-].[Na+].[Na+].[Na+],100
O=C(Cl)c1ccccc1,99
CB1OB(C)OB(C)O1,99
[BH4-].[K+],98
BrCc1ccccc1,98
Cl[SiH](Cl)Cl,97
O=[Si]([O-])[O-].[Mg+2],96
OB(O)O,96
CC(C)(C)N,96
Cl.O,96
O=C(O)C(Cl)Cl,96
C1=CCC=CC1,95
C[S-].[Na+],95
O=C(O)c1ccccc1I(=O)=O,95
CC[BH-](CC)CC.[Li+],95
CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Pb+4],95
Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1,94
CC(C)(C)[O-].[Li+],94
NC(=O)CCC(=O)NBr,94
CCCc1c(CNC)ccc2ccccc12,94
COCCOCCN(CCOCCOC)CCOCCOC,93
CCOP(=O)(OCC)On1nnc2ccccc2c1=O,93
CC=O,92
O=C(O)c1cccc(Nc2ncc(F)c(Nc3cccc(C(=O)O)c3)n2)c1,92
CC[N+](CC)(CC)S(=O)(=O)N=C([O-])OC,92
CC(C)(C)OC(=O)/N=N/C(=O)OC(C)(C)C,92
CCCO,91
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,91
CCOC(C)O,91
C[N+](C)(C)[O-],91
O.O.O.O.O.O.O.O.[Ba+2].[OH-].[OH-],90
O=C(Cl)OCC(Cl)(Cl)Cl,90
[B][B][B][B][B][B][B][B][B][B],89
NC12OCCON1C(Nc1ccc3oc(CO)cc3c1)=NC=C2F,89
COCCN(CCOC)S(F)(F)F,89
CN(C)C,87
c1coc(P(c2ccco2)c2ccco2)c1,87
CC(C)[O-].CC(C)[O-].CC(C)[O-].[Al+3],87
O.O=C([O-])[O-].[Na+].[Na+],87
C[O-].C[O-].[Mg+2],87
c1ccc2[nH]ccc2c1,86
O=S(=O)(O)O.O=S(=O)=O,86
Clc1ccccc1,86
O=S(=O)([O-])[O-].[NH4+].[NH4+],86
CN(C)CC(=O)O,86
COc1nc(Cl)nc(OC)n1,84
Cl[Si](Cl)(Cl)Cl,84
O=S(=O)(c1ccccc1)N1OC1c1ccccc1,84
CN1CCNCC1,83
CC(C)C[Al]CC(C)C,83
O=C(O)CS,83
[K+].[N-]=[N+]=[N-],83
CC(C)[Mg]Cl.[Cl-].[Li+],82
[CH2-]CCC.[Li+],82
C[Si](C)(C)N[Si](C)(C)C.[Li],82
CC(C)NC(C)C.[Li],81
CS(N)(=O)=O,81
CS(=O)(=O)OS(C)(=O)=O,80
CCCI,80
CN(C)c1cccc2cccc(N(C)C)c12,80
CCB(CC)CC,80
O=C(Cl)Oc1ccccc1,80
Cc1ccc(S(=O)(=O)N=[N+]=[N-])cc1,80
C1CCOC1.C[Si](C)(C)[N-][Si](C)(C)C.[Li+],79
CCCC[N+](CCCC)(CCCC)CCCC.O.[F-],79
BrC(Br)Br,79
[Li+].[O-][Cl+3]([O-])([O-])[O-],78
[Br-].[Br-].[Mg+2],78
CN(C)CC(=O)O.Cl,78
COC1=NS(=O)(=O)N=C1OC,78
CON.Cl,77
CC(C)O.O=C=O,77
O.O=P([O-])([O-])[O-].[K+].[K+].[K+],77
Fc1nc(F)nc(F)n1,77
CCOC(=O)OC(=O)OCC,76
O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,76
[Li]c1ccccc1,76
CC(C)(C)C(=O)CC(=O)C(C)(C)C,76
CN1C(=O)CC(=O)N(C)C1=O,76
[Ca+2].[O-2],75
O=C=Nc1ccccc1,75
CC(C)OC(=O)Cl,75
O=C1N(CCC2CC2)c2ccccc2C1(CO)c1cc2c(cc1O)OCO2,75
O=[Cr](=O)(O)O,74
c1cc(N2CCCC2)ccn1,74
NCC1CCCCC1,74
O=C(O)Cc1cccc2cnccc12,74
NC(N)=O.OO,74
C[Si](C)(C)ON,74
COCCO,73
C1CCOC1.[Al+3].[H-].[H-].[H-].[H-].[Li+],73
N#CCBr,73
CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F,73
CCN(CC)C(C)C,73
O=C(O)c1ccccn1,73
NCCC(=O)O,73
[Al+3].[Br-].[Br-].[Br-],72
NC1CCCCC1,72
CNOC.Cl,72
OCCOCCO,72
CC(=O)O[BH-](OC(C)=O)OC(C)=O.C[N+](C)(C)C,72
BrCBr,72
Oc1ccc2c(c1)OCO2,72
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,71
[F-].[Na+],71
CC(=O)O[K],71
CC(C)(C)c1nc(N2CCC(F)(F)C2)c2nn[nH]c2n1,70
CN1CC(=O)Nc2ncc(/C=C/C(=O)O)cc2C1.Cl,70
CCOC(=O)C(C)(Oc1cccc([N+](=O)[O-])c1)C(=O)OCC,69
O=[N+]([O-])[O-].[NH4+],69
[B],69
COc1nc(OC)nc([N+]2(C)CCOCC2)n1.O.[Cl-],69
FF,68
F[B-](F)(F)F.N#[O+],68
CCC(C)(C)O,68
C[Si](C)(C)N[Si](C)(C)C.[Na],68
CCOP(OCC)OCC,68
C[C@H](NC(=O)OC(C)(C)C)C(=O)O,68
O=C(O)c1cccc(CN2C(=O)C3(COc4cc5c(cc43)CCO5)c3ccccc32)c1,68
NCc1cccnc1,68
Cc1c(C=O)n(C)c2ccccc12,68
[Al+3].[Al+3].[O-2].[O-2].[O-2],67
C1CNCCN1,67
O.[Na+].[OH-],67
O=C(O)C(O)C(O)C(=O)O,67
CO[C@@H](Cc1ccc(OCCCOc2ccccc2)cc1)C(=O)O,67
O=S(=O)([O-])O[O-].[K+].[K+],67
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,66
CN1CCN(C)C1=O,65
CC(C)(C)C(=O)O,65
N=C=O,65
O=C1c2ccccc2C(=O)N1O,65
CCCC[Sn](CCCC)(CCCC)c1ccco1,65
CS,65
COC(=O)C[C@@H]1COc2cc(O[C@@H]3CCc4c(Br)ccc(F)c43)ccc21,65
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,65
O.O.O.O.O.O.O.O.O.[Na+].[Na+].[S-2],64
O=C([O-])O.[NH4+],64
O=NCl,64
COC,64
O=C1c2ccccc2C(=O)C1(O)O,64
CC[S-].[Na+],63
N#C[Cu]C#N,63
CCCC[Sn](Cl)(Cl)CCCC,63
CC(C)C[Al+]CC(C)C.Cc1ccccc1.[H-],62
CC1(C)COB(B2OCC(C)(C)CO2)OC1,62
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1C(F)(F)F)C(=O)O,62
O=C(O)/C=C/C(=O)O,61
CN(C)CCN(C)CCN(C)C,61
[Cl-].[K+],61
[Li+].[N-]=[N+]=[N-],61
CCOC(=O)CSc1cnc(N)s1,61
[Na+].[O-]c1ccccc1,61
O=C(O)Cc1cccs1,61
CC(Br)Br,61
CCCCOB(OCCCC)OCCCC,61
CCO[C@@H](Cc1ccc(O[C@H](C)C(=O)NCCc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,61
OCc1ccccc1,60
c1nnn[nH]1,60
CC(=O)O[Na],60
[Cl-].c1cc[nH+]cc1,60
O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[K+].[K+],60
C#C,60
CC[B-](CC)CC.[Li+],60
[Li+].[NH2-],60
O=C1N(CCC2CC2)c2ccccc2C1(O)c1cc2c(cc1O)OCO2,60
C1CCOC1.CCOC(C)=O,59
C[Mg]I,59
O=C([O-])O.[Cs+],59
CNCC(=O)O,59
O.O.O=P([O-])(O)O.[Na+],59
O=C1CCCCC1,58
O=C1NC(=O)c2ccccc21,58
[Ba+2].[OH-].[OH-],58
CCOCCO,58
CN(C)C(Oc1c(F)c(F)c(F)c(F)c1F)=[N+](C)C.F[P-](F)(F)(F)(F)F,58
CN(C1CCCCC1)C1CCCCC1,58
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,58
[Na+].[SH-],57
CSCC[C@H](N)C(=O)O,57
CN(C)C(On1ccccc1=O)=[N+](C)C.F[B-](F)(F)F,57
C[C@H](N)C(=O)O,57
O=C(/N=N/C(=O)OCc1ccccc1)OCc1ccccc1,57
ClC(Cl)(Br)C(Cl)(Cl)Br,57
S=C=S,56
CCO.N,56
C[Al+]C.[Cl-],56
